,name,phone,principal,grades,division
1292,North Springfield Elementary,703-658-5500,Mr. Chad McRae,PK-5,Fairfax County Public Schools
1293,North Stafford High,540-658-6150,Mr. Thomas D. Nichols,9-12,Stafford County Public Schools
1294,North Tazewell Elementary,276-988-4510,Mrs. Irene Mullins,PK-5,Tazewell County Public Schools
1295,Northampton High School,757-678-5151,Mr. Alvin Coleman,9-12,Northampton County Public Schools
1296,Northampton Middle School,757-678-5151,Ms. Alice Graham,7-8,Northampton County Public Schools
1297,Northern Shores Elementary,757-923-4169,Tara Moore,PK-5,Suffolk Public Schools
1298,Northside High,540-561-8155,Mr. Frank Dent,9-12,Roanoke County Public Schools
1299,Northside Middle,757-531-3150,Dr. Mark Makovec,6-8,Norfolk Public Schools
1300,Northside Middle,540-561-8145,Ms. Lori Wimbush,6-8,Roanoke County Public Schools
1301,Northumberland Elementary,804-580-8032,Mrs. Arnette Butler,PK-5,Northumberland County Public Schools
1302,Northumberland High,804-580-5192,Dr. Travis Burns,9-12,Northumberland County Public Schools
1303,Northumberland Middle,804-580-5753,Mr. Robert Allen Bailey Jr.,6-8,Northumberland County Public Schools
1304,Northwood High,276-496-7751,Mr. Marcus Stanley Dunham III,9-12,Smyth County Public Schools
1305,Northwood Middle,276-624-3341,Mr. Tim Duncan,6-8,Smyth County Public Schools
1306,Norton Elementary,276-679-0971,Gina Wohlford,PK-7,Norton Public Schools
1307,Norview Elementary,757-852-4660,Mrs. Sandra Cox,PK-5,Norfolk Public Schools
1308,Norview High,757-852-4500,Dr. Marjorie Stealey,9-12,Norfolk Public Schools
1309,Norview Middle,757-852-4600,Mr. Walter Brower,6-8,Norfolk Public Schools
1310,Nottingham Elementary,703-228-5290,Ms. Mary Beth Pelosky,PK-5,Arlington County Public Schools
1311,Nottoway Elementary,757-859-6539,Mr. Christopher Tistsera,PK-5,Southampton County Public Schools
1312,Nottoway High,434-292-5373,Mrs. Anne Stinson,9-12,Nottoway County Public Schools
1313,Nottoway Intermediate,434-292-5353,Mrs. Daisy M. Hicks,5-6,Nottoway County Public Schools
1314,Nottoway Middle,434-292-5375,Mr. George E. Smith,7-8,Nottoway County Public Schools
1315,Nuckols Farm Elementary,804-364-0840,Ms. Lisa W. Merriam,PK-5,Henrico County Public Schools
1316,O. Trent Bonner Middle,434-799-6446,Mr. Kevin Whitlock,6-8,Danville Public Schools
1317,O.B. Gates Elementary,804-768-6195,Giuliana Brink,PK-5,Chesterfield County Public Schools
1318,Oak Grove Elementary,540-772-7580,Ms. Kim Bradshaw,PK-5,Roanoke County Public Schools
1319,Oak Grove/Bellemeade Elementary,804-780-5008,Ms. Mary Townes,PK-5,Richmond Public Schools
1320,Oak Hill Elementary,703-467-3500,Ms. Amy Goodloe,PK-6,Fairfax County Public Schools
1321,Oak Knoll Middle,804-365-4740,Ms. Caroline S. Harris,6-8,Hanover County Public Schools
1322,Oak Point Elementary School,276-783-2609,Mr. Gary Foulke,PK-5,Smyth County Public Schools
1323,Oak View Elementary,703-764-7100,Ms. Bonnie Glazewski,PK-6,Fairfax County Public Schools
1324,Oakland Elementary,757-923-5248,Mrs. Temesha Dabney,PK-5,Suffolk Public Schools
1325,Oakland Elementary School,276-236-3049,Mr. Larry F. Williams,PK-5,Carroll County Public Schools
1326,Oakridge Elementary,703-228-5840,Dr. Lynne Wright,PK-5,Arlington County Public Schools
1327,Oakton Elementary,703-937-6100,Ms. Christine M Gray,PK-6,Fairfax County Public Schools
1328,Oakton High,703-319-2700,Mr. John Banbury,9-12,Fairfax County Public Schools
1329,Occohannock Elementary,757-678-5151,Mr. Ron Yorko,PK-6,Northampton County Public Schools
1330,Occoquan Elementary,703-494-2195,Mr. Hamish Brewer,PK-5,Prince William County Public Schools
1331,Ocean Lakes Elementary,757-648-3200,Dr. Linda Reese,PK-5,Virginia Beach Public Schools
1332,Ocean Lakes High,757-648-5550,Dr. Cheryl C. Askew,9-12,Virginia Beach Public Schools
1333,Ocean View Elementary,757-531-3105,Mrs. Lauren Campsen,PK-5,Norfolk Public Schools
1334,Oceanair Elementary,757-531-3095,Dr. Lawrence Taylor,PK-5,Norfolk Public Schools
1335,Old Bridge Elementary,703-491-5614,Anita G. Flemons,PK-5,Prince William County Public Schools
1336,Old Donation Center,757-473-5043,Dr. Kelly A. Hedrick,2-5,Virginia Beach Public Schools
1337,Olde Creek Elementary,703-426-3100,Ms. Twila S. Mack,PK-6,Fairfax County Public Schools
1338,Olive Branch Preschool Center,757-465-2926, ,PK,Portsmouth Public Schools
1339,Oliver C. Greenwood Elementary,757-886-7744,Ms. Karen Lynch,PK-5,Newport News Public Schools
1340,Open High,804-780-4661,Peter Glessman,9-12,Richmond Public Schools
1341,Orange County High,540-661-4300,Doug Duncan,9-12,Orange County Public Schools
1342,Orange Elementary,540-661-4450,Ms. Judy Anderson,PK-5,Orange County Public Schools
1343,Orange Hunt Elementary,703-913-6800,Mr. Jason M. Pensler,PK-6,Fairfax County Public Schools
1344,Orchard View Elementary,540-869-8642,Crystal Nicola,KG-5,Frederick County Public Schools
1345,Original Walker-Grant,540-372-1065, ,PK,Fredericksburg Public Schools
1346,Osbourn High,571-377-7000,Ms. Cathy Benner,9-12,Manassas Public Schools
1347,Osbourn Park High,703-365-6500,Neil Beech,9-12,Prince William County Public Schools
1348,Oscar F. Smith High,757-548-0696,Mr. Paul A. Joseph,9-12,Chesapeake Public Schools
1349,Oscar Smith Middle,757-494-7590,Mrs. Judith C. Thurston,6-8,Chesapeake Public Schools
1350,Otter River Elementary,540-586-9210,Mrs. Georgia W. Hairston,PK-5,Bedford County Public Schools
1351,Ottobine Elementary,540-879-2091,Ms. Laura A. Evy,PK-5,Rockingham County Public Schools
1352,Overby-Sheppard Elementary,804-329-2515,Ms. Melissa Johnson,PK-5,Richmond Public Schools
1353,P.B. Smith Elementary,540-347-6150,Dr. Patricia Comstock,PK-5,Fauquier County Public Schools
1354,"P.B. Young, Sr. Elementary",757-628-2588,Ms. Alana Balthazar,PK-5,Norfolk Public Schools
1355,Page County High,540-652-8712,Mr. Eric Benson,9-12,Page County Public Schools
1356,Page County Middle,540-652-3400,Dr. Teresa Wiita,6-8,Page County Public Schools
1357,Page County Technical Center,540-652-8544, ,,Page County Public Schools
1358,Page Middle,804-693-2540,Ms. Ginny Wilburn,8,Gloucester County Public Schools
1359,Park Avenue Elementary,434-799-6452,Ms. Melissa Newton,KG-5,Danville Public Schools
1360,Park Ridge Elementary,540-658-6320,Ms. Keana Sirmans Butler,PK-5,Stafford County Public Schools
1361,Park View Elementary,757-393-8647,Mrs. Gwendolyn A. Watkins,KG-6,Portsmouth Public Schools
1362,Park View High,571-434-4500,Dr. Virginia Minshew,9-12,Loudoun County Public Schools
1363,Park View High,434-447-3435,Paige Kindley,9-12,Mecklenburg County Public Schools
1364,Park View Middle,434-447-3761,James Spence,6-8,Mecklenburg County Public Schools
1365,Parklawn Elementary,703-914-6900,Ms. Susan G. Akroyd,PK-5,Fairfax County Public Schools
1366,Parkside Elementary,540-710-5190,Mr. Thomas L. Eichenburg,PK-5,Spotsylvania County Public Schools
1367,Parkside Middle,703-361-3106,Ms. Mary Jane Boynton,6-8,Prince William County Public Schools
1368,Parkway Elementary,757-648-3280,Ms. Nanocie M. Diggs,PK-5,Virginia Beach Public Schools
1369,Parry McCluer High,540-261-2127,Mrs. Anna Graham,8-12,Buena Vista Public Schools
1370,Parry McCluer Middle,540-261-7340,Mr. Brian Bowles,5-7,Buena Vista Public Schools
1371,Patrick Copeland Elementary,804-541-6410,Mrs. Susan S. Jones,KG-5,Hopewell Public Schools
1372,Patrick County High,276-694-7137,Kenneth Cox,8-12,Patrick County Public Schools
1373,Patrick Henry Elementary,703-461-4170,Ingrid Bynum,KG-5,Alexandria Public Schools
1374,Patrick Henry Elementary School,276-403-5812,Dr. Zeb Talley,KG-5,Martinsville Public Schools
1375,Patrick Henry High,804-365-8000,Dr. Wanda Bibb,9-12,Hanover County Public Schools
1376,Patrick Henry High,540-853-2255,Mr. Joe Jablonski,9-12,Roanoke Public Schools
1377,Patrick Henry High,276-739-3700,Dr. Keith Perrigan,9-12,Washington County Public Schools
1378,Patrick Henry School Of Science And Arts,804-888-7061,Mrs. Sabrina Beamon,KG-5,Richmond Public Schools
1379,Patrick Springs Elementary,276-694-3396,Mrs. Andrea J. Cassell,KG-3,Patrick County Public Schools
1380,Patriot High,703-791-8920,Dr. Michael E Bishop,9-12,Prince William County Public Schools
1381,Paul Burbank Elementary,757-825-4642,Mr. Troy M. Latuch,KG-5,Hampton Public Schools
1382,Paul H. Cale Elementary,434-293-7455,Ms. Lisa Jones,PK-5,Albemarle County Public Schools
1383,Paul Laurence Dunbar Middle for Innovation,434-522-3740,Ms. Kacey M. Crabbe,6-8,Lynchburg Public Schools
1384,Paul Munro Elementary,434-384-1721,Mrs. Donna D. Baer,PK-5,Lynchburg Public Schools
1385,Peabody Middle,804-862-7075,Mr. Jerome Williams,6-7,Petersburg Public Schools
1386,Peak View Elementary,540-289-7510,Mrs. Marcy J. Williams,PK-5,Rockingham County Public Schools
1387,Pearl Sample Elementary,540-825-5448,Mrs. Kristin M. Williams,PK-5,Culpeper County Public Schools
1388,Pearson's Corner Elementary,804-723-3660,Mr. Stephen G. Smith,PK-5,Hanover County Public Schools
1389,Peasley Middle,804-693-1499,Mr. Bryan L. Hartley,6-7,Gloucester County Public Schools
1390,Pemberton Elementary,804-750-2660,Ms. Cynthia E. Jefferson,PK-5,Henrico County Public Schools
1391,Pembroke Elementary,757-473-5025,Dr. Linda Hayes,PK-5,Virginia Beach Public Schools
1392,Pembroke Meadows Elementary,757-648-3360,Dr. Charles L. Spivey,PK-5,Virginia Beach Public Schools
1393,Peninsula Marine Institute,757-245-3556, ,,Newport News Public Schools
1394,Penn Forest Elementary,540-772-7590,Ms. Jean Brammer,PK-5,Roanoke County Public Schools
1395,Pennington Middle,276-546-1453,Mr. Jerry H. Hounshell,6-8,Lee County Public Schools
1396,Pennington School,703-369-6644,Ms. Joyce T. Stockton,1-8,Prince William County Public Schools
1397,Perrymont Elementary,434-582-1100,Mrs. Karen S. Nelson,PK-5,Lynchburg Public Schools
1398,Peter Muhlenberg Middle,540-459-2941,Ms. Gina M. Stetter,6-8,Shenandoah County Public Schools
1399,Petersburg High,804-862-7096,Alicia Fields,10-12,Petersburg Public Schools
1400,Petsworth Elementary,804-693-6161,Ms. Cathy Balderson,PK-5,Gloucester County Public Schools
1401,Phenix Elementary,434-542-5570,Dr. Ann E. Nelson,KG-5,Charlotte County Public Schools
1402,Phillips Elementary,757-850-5079,Ms. Elizabeth J Reynolds,KG-5,Hampton Public Schools
1403,Phoebus High,757-727-1000,Mr. William L. Beverley,9-12,Hampton Public Schools
1404,Pimmit E.C. Resouce Ctr.,703-506-2219, ,PK,Fairfax County Public Schools
1405,Pinchbeck Elementary,804-750-2670,Ms. Sarah E. Modrak,PK-5,Henrico County Public Schools
1406,Pine Spring Elementary,571-226-4400,Mr. Armando L. Peri,PK-6,Fairfax County Public Schools
1407,Pinebrook Elementary,703-957-4325,Paul Thiessen,PK-5,Loudoun County Public Schools
1408,Piney Branch Elementary,703-791-7360,Ms. Janice Herritt,PK-5,Prince William County Public Schools
1409,Pittsylvania Vocational-Technical Center,434-432-9416,Mr. Jimmie L. Tickle,,Pittsylvania County Public Schools
1410,Plains Elementary,540-896-8956,Mr. J. W. Kile,PK-5,Rockingham County Public Schools
1411,Plaza Middle,757-648-4900,Dr. Joe Burnsworth,6-8,Virginia Beach Public Schools
1412,Pleasant Valley Elementary,540-434-4557,Mrs. Paula Frazier,PK-5,Rockingham County Public Schools
1413,Pleasant View Elementary,434-528-6492,Michael O'Brien,PK-5,Amherst County Public Schools
1414,Plum Center For Lifelong Learning,703-658-2784, ,,Fairfax County Public Schools
1415,Pocahontas Elementary,804-598-5717,Mr. Thomas Sulzer,KG-4,Powhatan County Public Schools
1416,Pocahontas Middle,804-364-0830,Ms. Kimberly G. Sigler,6-8,Henrico County Public Schools
1417,Pocahontas Middle,804-598-5720,Dr. Lynn Prince,5-6,Powhatan County Public Schools
1418,Poe Middle,703-813-3800,Ms. Sonya Swansbrough,6-8,Fairfax County Public Schools
1419,Point O' View Elementary,757-648-3440,Dr. Paulette France,PK-5,Virginia Beach Public Schools
1420,Point Option Alternative School,757-591-7408,Mr. Michael Bonfiglio,,Newport News Public Schools
1421,Pole Green Elementary,804-365-4700,Ms. Rhonda S. Epling,PK-5,Hanover County Public Schools
1422,Poplar Halls Elementary,757-892-3280,Mrs. Cassandra Duke-Washington,PK-5,Norfolk Public Schools
1423,Poplar Tree Elementary,703-633-7400,Mrs. Sharon S Williams,PK-6,Fairfax County Public Schools
1424,Poquoson Elementary,757-868-6921,Ms. Barbara Wood,3-5,Poquoson Public Schools
1425,Poquoson High,757-868-7123,Mr. Bernard Wright,9-12,Poquoson Public Schools
1426,Poquoson Middle,757-868-6031,Mr. Todd E. Perelli,6-8,Poquoson Public Schools
1427,Poquoson Primary,757-868-4403,Mrs. Janet Harper,PK-2,Poquoson Public Schools
1428,Portlock Primary,757-494-7555,Mrs. Nancy L. Cruz,PK-2,Chesapeake Public Schools
1429,Post Oak Middle,540-582-7517,Karen Foster,6-8,Spotsylvania County Public Schools
1430,Potomac Elementary,540-663-3322,Mrs. Angela Harris,KG-6,King George County Public Schools
1431,Potomac Falls High,571-434-3200, ,9-12,Loudoun County Public Schools
1432,Potomac High,703-441-4200,Michael Wright,9-12,Prince William County Public Schools
1433,Potomac Middle,703-221-4996,Alfie L. Turner,6-8,Prince William County Public Schools
1434,Potomac View Elementary,703-491-1126,Susan K. Porter,PK-5,Prince William County Public Schools
1435,Potowmack Elementary,571-434-3270,Jennifer Abel,PK-5,Loudoun County Public Schools
1436,Powell Elementary,571-522-6000,Mrs. Linda L Clifford,PK-6,Fairfax County Public Schools
1437,Powell Valley Middle,276-523-0195,Paul Clendenon,5-8,Wise County Public Schools
1438,Powell Valley Primary,276-523-4900,Heather Sykes,PK-4,Wise County Public Schools
1439,Powhatan Elementary,804-598-5730,Mrs. Constance G. Deal,KG-4,Powhatan County Public Schools
1440,Powhatan High,804-598-5710,Mrs. Tracie Omohundro,9-12,Powhatan County Public Schools
1441,Powhatan Junior High,804-598-5782,Mr. Jason Tibbs,7-8,Powhatan County Public Schools
1442,Powhatan Voc. Center,804-598-5714, ,,Powhatan County Public Schools
1443,Pre-School Dev. Center,804-644-2357, ,,Richmond Public Schools
1444,Preston Park Elementary,540-853-2996,Mr. Eric Fisher,PK-5,Roanoke Public Schools
1445,Prices Fork Elementary,540-951-5736,Ms. Dollie T. Cottrill,PK-5,Montgomery County Public Schools
1446,Prince Edward County High,434-315-2130,Zoltan Kerestely,9-12,Prince Edward County Public Schools
1447,Prince Edward County Vocational Technical,434-315-2140, ,,Prince Edward County Public Schools
1448,Prince Edward Elementary,434-315-2110,Amy McCurdy,PK-4,Prince Edward County Public Schools
1449,Prince Edward Middle,434-315-2120,Mrs. Lucy Carson,5-8,Prince Edward County Public Schools
1450,Prince George High,804-733-2720,Ms. Tracey Smallwood,9-12,Prince George County Public Schools
1451,Princess Anne Elementary,757-648-3480,Gloria Davis,PK-5,Virginia Beach Public Schools
1452,Princess Anne High,757-648-5600,Dr. Daniel W. Smith,9-12,Virginia Beach Public Schools
1453,Princess Anne Middle,757-648-4950,Mr. Alex Bergren,6-8,Virginia Beach Public Schools
1454,Program for Academic and Career Enhancement (PACE),804-652-3717, ,,Henrico County Public Schools
1455,Prospect Heights Middle,540-661-4400,Mrs. Renee Bourke,6-8,Orange County Public Schools
1456,Providence Elementary,804-674-1345,Dr. Sharon Rucker,PK-5,Chesterfield County Public Schools
1457,Providence Elementary,703-460-4400,Mr. Jesse Kraft,PK-6,Fairfax County Public Schools
1458,Providence Elementary,757-648-3520,Ms. Lou Anne Metzger,PK-5,Virginia Beach Public Schools
1459,Providence Middle,804-674-1355,Dr. Derek Wasnock,6-8,Chesterfield County Public Schools
1460,Pulaski County Senior High,540-643-0747,Mr. Michael Myers,9-12,Pulaski County Public Schools
1461,Pulaski Elementary,540-643-0737,Linda Edwards,PK-5,Pulaski County Public Schools
1462,Pulaski Middle,540-643-0767,Mary Rash,6-8,Pulaski County Public Schools
1463,Pulley Career Center,703-718-2700,Ms. Anne B. Starr,,Fairfax County Public Schools
1464,Pungoteague Elementary,757-787-4032,Ms. Wandnetta McCray,PK-5,Accomack County Public Schools
1465,Quander Road School,703-718-2400,Dr. Carlyn E. Floyd,,Fairfax County Public Schools
1466,Queens Lake Middle,757-220-4080,Scott Meadows,6-8,York County Public Schools
1467,R. Dean Kilby Elementary,703-494-6677,Ms. Amy Jordan,PK-5,Prince William County Public Schools
1468,R.C. Longan Elementary,804-527-4640,Ms. Melanie S. Peugh,PK-5,Henrico County Public Schools
1469,R.O. Nelson Elementary,757-886-7783,Dr. Melody Camm,PK-5,Newport News Public Schools
1470,Radford High,540-731-3649,Mr. Jeff Smith,9-12,Radford Public Schools
1471,Randolph Elementary,703-228-5830,Dr. Renee Bostick,PK-5,Arlington County Public Schools
1472,Randolph Elementary,804-556-5385,Mrs. Sandra Crowder,KG-5,Goochland County Public Schools
1473,Randolph-Henry High,434-542-4111,Mrs. Charlene W. Bowman,9-12,Charlotte County Public Schools
1474,Rappahannock County Elementary,540-227-0200,Mrs. Catherine Jones,PK-7,Rappahannock County Public Schools
1475,Rappahannock County High,540-227-0745,Mr. Michael W. Tupper,8-12,Rappahannock County Public Schools
1476,Rappahannock High,804-333-3551,Mr. Jesse Boyd,9-12,Richmond County Public Schools
1477,Raven Elementary,276-964-9437,Mrs. Blendia Walls,PK-5,Tazewell County Public Schools
1478,Ravensworth Elementary,703-426-3600,Ms. Roxanne Salata,PK-6,Fairfax County Public Schools
1479,Rawls Byrd Elementary,757-229-7597,Cathy Vazquez,KG-5,Williamsburg-James City County Public Schools
1480,Read Mountain Middle,540-966-8655,Mr. Michael A. Tetreault,6-8,Botetourt County Public Schools
1481,Real Special Ed Ctr,804-780-6010, ,,Richmond Public Schools
1482,Reams Road Elementary,804-674-1370,Jodi Seitz,PK-5,Chesterfield County Public Schools
1483,Red Hill Elementary,434-293-5332,Mr. Art Stow,PK-5,Albemarle County Public Schools
1484,Red Mill Elementary,757-648-3560,Dr. Steven M. Scarcelli,PK-5,Virginia Beach Public Schools
1485,Red Oak-Sturgeon Elementary,434-949-7820,Mrs. Carolyn H. Meredith,PK-5,Brunswick County Public Schools
1486,Redbud Run Elementary,540-678-1868,Mrs. Angie G. White,KG-5,Frederick County Public Schools
1487,Redirection Alternative Education,540-661-4550, ,,Orange County Public Schools
1488,Rena B. Wright Primary,757-494-7585,Mrs. Brenda Hobbs,PK-2,Chesapeake Public Schools
1489,Ressie Jeffries Elementary,540-636-6824,Dr. Thomas E. Matteson,KG-5,Warren County Public Schools
1490,Rhea Valley Elementary,276-739-4200,Mrs. Debbie Anderson,PK-5,Washington County Public Schools
1491,Rich Acres Elementary,276-638-3366,Mrs. Elizabeth F. Hussey,PK-5,Henry County Public Schools
